id,carat,cut,color,clarity,depth,table,x,y,z,price
46,0.71,Very Good,I,VVS2,63.1,58.0,5.71,5.64,3.58,780.38
47,0.75,Premium,G,VVS2,62.5,56.0,5.84,5.78,3.63,815.65
48,0.51,Premium,D,VS2,60.1,59.0,5.19,5.16,3.11,758.93
49,1.01,Very Good,F,VS2,60.6,55.0,6.5,6.56,3.96,880.22
50,0.62,Ideal,D,VS1,61.0,57.0,5.51,5.54,3.37,784.85
51,0.3,Ideal,F,IF,62.3,57.0,4.29,4.31,2.68,678.67
52,1.45,Very Good,I,IF,60.6,61.0,7.32,7.41,4.46,917.81
53,0.71,Ideal,D,SI1,63.0,55.0,5.64,5.57,3.53,789.88
54,0.34,Ideal,D,VS2,62.3,55.0,4.45,4.48,2.78,669.08
55,1.2,Premium,H,VS2,61.4,59.0,6.79,6.75,4.16,875.35
56,1.5,Good,I,SI1,62.9,60.0,7.12,7.16,4.49,900.71
57,0.36,Ideal,D,VS2,61.7,55.0,4.6,4.58,2.83,699.76
58,0.9,Very Good,E,VS1,63.0,55.0,6.08,6.15,3.85,840.04
59,0.77,Ideal,H,VS1,61.4,55.0,5.89,5.93,3.63,803.07
60,1.01,Premium,F,VS2,62.3,58.0,6.34,6.4,3.97,873.94
61,0.32,Ideal,G,VS1,61.3,55.0,4.46,4.42,2.72,671.9
62,0.32,Ideal,G,VS1,61.6,57.0,4.42,4.38,2.71,671.9
63,0.34,Premium,D,SI2,59.2,59.0,4.54,4.58,2.7,622.85
64,0.96,Ideal,G,SI1,63.0,53.0,6.24,6.21,3.92,836.66
65,0.5,Very Good,G,VVS2,63.0,58.0,4.98,5.02,3.15,749.05
66,0.33,Ideal,F,VS2,60.5,55.0,4.55,4.47,2.73,674.99
67,1.01,Very Good,F,SI1,63.5,59.0,6.38,6.29,4.02,851.5
68,1.09,Premium,H,VS2,62.6,56.0,6.62,6.55,4.12,863.07
69,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,844.27
70,0.36,Premium,D,SI1,60.4,58.0,4.64,4.6,2.79,674.64
71,0.3,Ideal,D,VVS1,62.2,57.0,4.3,4.35,2.69,676.39
72,1.08,Premium,F,VS2,62.1,59.0,6.59,6.54,4.08,894.08
73,0.43,Ideal,G,VVS1,61.4,57.0,4.85,4.89,2.99,694.41
74,0.7,Ideal,E,SI1,60.6,57.0,5.76,5.79,3.5,786.86
75,0.53,Good,F,SI1,63.8,58.0,5.12,5.17,3.28,714.52
76,0.3,Ideal,E,VS2,61.4,56.0,4.33,4.36,2.67,643.13
77,1.51,Very Good,I,VS1,60.5,60.0,7.42,7.46,4.5,918.03
78,1.29,Good,F,SI1,63.8,60.0,6.9,6.86,4.39,896.55
79,0.32,Good,I,SI1,63.5,57.0,4.3,4.33,2.74,604.26
80,1.18,Very Good,D,I1,61.5,62.0,6.73,6.88,4.19,824.7
81,0.7,Very Good,I,VVS1,62.1,58.0,5.62,5.65,3.5,784.97
82,0.3,Good,E,VVS2,63.2,59.0,4.27,4.28,2.7,652.8
83,0.44,Ideal,G,VVS1,62.3,56.0,4.85,4.87,3.03,709.17
84,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,792.66
85,1.01,Good,G,SI2,63.7,56.0,6.26,6.34,4.01,834.55
86,1.05,Ideal,I,SI2,60.9,57.0,6.55,6.62,4.01,833.4
87,0.3,Premium,F,VS1,60.5,60.0,4.31,4.29,2.6,673.82
88,0.7,Very Good,E,VS2,61.8,59.0,5.63,5.67,3.49,799.02
89,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,792.41
90,1.13,Ideal,G,SI2,62.9,54.0,6.72,6.67,4.21,854.95
91,1.25,Premium,G,VS1,60.7,56.0,7.01,6.93,4.23,913.58
92,0.5,Very Good,D,VS2,63.8,56.0,5.05,5.08,3.23,736.52
93,0.5,Ideal,H,SI1,61.3,56.0,5.12,5.16,3.15,741.82
94,1.52,Good,J,SI1,63.6,60.0,7.25,7.21,4.6,885.68
95,1.03,Very Good,G,SI1,59.4,60.0,6.61,6.66,3.94,858.54
96,0.31,Ideal,F,VVS1,61.0,57.0,4.38,4.39,2.67,678.45
97,0.51,Premium,E,SI1,62.9,57.0,5.11,5.06,3.2,724.57
98,1.0,Very Good,H,SI1,62.4,58.0,6.37,6.42,3.99,842.81
99,0.71,Good,H,VVS2,60.4,63.0,5.69,5.74,3.45,791.5
100,0.41,Premium,I,VVS2,62.4,60.0,4.7,4.73,2.94,671.78
101,0.4,Premium,D,SI2,62.4,58.0,4.73,4.69,2.94,675.11
102,1.5,Fair,F,SI2,65.3,57.0,7.15,7.09,4.65,886.16
103,0.54,Premium,H,VVS2,60.6,60.0,5.31,5.29,3.21,748.77
104,0.71,Ideal,E,SI1,61.3,57.0,5.81,5.78,3.55,790.25
105,1.2,Very Good,J,SI1,61.8,57.7,6.78,6.91,4.23,853.37
106,1.0,Good,D,SI2,57.8,58.0,6.61,6.55,3.8,836.52
107,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,927.23
108,0.36,Premium,E,SI1,62.2,59.0,4.53,4.57,2.83,637.84
109,0.57,Ideal,D,VS1,61.6,55.0,5.33,5.39,3.3,762.22
110,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,875.34
111,1.01,Very Good,D,VS2,63.1,60.0,6.39,6.35,4.02,887.16
112,1.01,Ideal,H,VS2,62.7,56.0,6.35,6.4,4.0,854.99
113,0.53,Premium,H,SI1,59.4,60.0,5.26,5.24,3.12,712.45
114,0.32,Premium,F,VVS1,62.7,60.0,4.35,4.32,2.72,689.77
115,1.23,Premium,E,VS2,58.9,59.0,7.05,6.98,4.13,914.43
116,0.76,Premium,H,SI1,60.9,59.0,5.91,5.86,3.58,755.75
117,0.4,Premium,G,VVS2,59.7,58.0,4.8,4.78,2.86,695.65
118,1.21,Premium,I,SI1,61.0,56.0,6.91,6.87,4.2,839.03
119,0.3,Fair,F,VS2,64.5,55.0,4.31,4.19,2.74,649.53
120,0.73,Ideal,F,VVS2,61.7,54.0,5.82,5.76,3.57,814.99
121,0.31,Ideal,I,VVS1,61.4,54.0,4.38,4.41,2.7,634.74
122,0.35,Ideal,D,VS2,62.4,57.0,4.51,4.56,2.83,672.02
123,0.3,Ideal,D,VS1,60.8,56.0,4.37,4.39,2.66,678.56
124,0.72,Premium,F,VVS2,61.1,58.0,5.78,5.84,3.55,808.64
125,0.33,Premium,G,VS2,60.0,58.0,4.47,4.49,2.69,636.13
126,2.06,Ideal,I,SI1,61.9,56.0,8.17,8.19,5.06,971.87
127,0.51,Ideal,G,VVS1,61.0,57.0,5.17,5.19,3.16,756.68
128,0.41,Ideal,D,VS2,62.4,54.0,4.78,4.74,2.97,698.1
129,0.53,Ideal,F,VVS2,62.3,56.0,5.24,5.2,3.25,762.32
130,1.5,Very Good,H,SI1,61.0,55.0,7.35,7.44,4.51,920.9
131,0.4,Ideal,D,VS2,61.3,56.0,4.79,4.74,2.92,695.65
132,0.53,Ideal,H,VVS1,60.8,56.0,5.24,5.26,3.19,748.49
133,0.33,Ideal,E,VS2,62.3,55.0,4.46,4.43,2.77,683.3
134,1.22,Very Good,F,SI1,63.5,56.0,6.79,6.75,4.3,858.09
135,0.31,Premium,G,VVS2,62.2,59.0,4.32,4.36,2.7,656.1
136,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,597.38
137,1.23,Premium,J,VS2,62.7,58.0,6.81,6.77,4.26,848.8
138,1.01,Very Good,G,VS2,63.0,56.0,6.35,6.41,4.02,865.85
139,1.23,Ideal,H,I1,61.9,61.0,6.85,6.79,4.22,827.0
140,0.4,Ideal,D,VS2,60.4,56.0,4.77,4.73,2.87,695.65
141,0.33,Ideal,G,VS2,62.6,56.0,4.41,4.38,2.75,661.07
142,0.26,Very Good,F,VVS1,61.7,57.0,4.09,4.13,2.53,648.77
143,0.33,Ideal,G,VVS1,61.7,54.0,4.46,4.49,2.76,673.1
144,0.7,Very Good,F,VS2,62.9,57.0,5.59,5.63,3.53,781.32
145,1.5,Premium,J,SI1,61.2,61.0,7.43,7.37,4.53,892.51
146,0.42,Premium,G,SI1,62.7,59.0,4.75,4.72,2.97,682.44
147,1.35,Ideal,G,VS1,62.2,57.0,7.09,7.05,4.4,923.44
148,1.01,Very Good,H,VS2,62.0,59.0,6.45,6.48,4.01,855.37
149,0.51,Ideal,G,VS1,62.5,57.0,5.07,5.14,3.19,741.22
150,1.5,Ideal,F,VS1,62.3,56.0,7.34,7.3,4.56,967.1
151,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,792.91
152,1.1,Ideal,F,VS2,60.0,57.0,6.76,6.71,4.04,872.68
153,1.21,Premium,H,VS2,61.0,58.0,6.9,6.83,4.19,887.37
154,0.32,Ideal,D,VVS2,61.7,55.0,4.42,4.39,2.72,692.17
155,0.33,Ideal,F,VVS1,62.1,56.0,4.43,4.46,2.76,671.9
156,1.18,Premium,I,SI2,61.7,58.0,6.79,6.75,4.18,844.23
157,1.19,Very Good,F,SI2,58.8,60.0,6.93,6.98,4.09,863.44
158,0.3,Very Good,H,SI1,60.9,59.0,4.29,4.31,2.62,606.84
159,0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59,793.77
160,0.9,Fair,G,SI1,65.2,59.0,6.05,6.01,3.93,808.64
161,0.41,Ideal,E,VS2,61.8,54.0,4.76,4.79,2.95,684.05
162,0.33,Ideal,H,VVS1,62.5,56.0,4.42,4.44,2.77,655.39
163,0.68,Good,F,VS1,60.0,60.8,5.67,5.71,3.41,783.04
164,1.53,Ideal,I,VS1,60.2,60.0,7.51,7.48,4.51,922.73
165,1.5,Premium,G,SI1,62.9,55.0,7.28,7.24,4.57,920.57
166,1.12,Ideal,I,VS2,62.8,55.0,6.69,6.66,4.19,851.44
167,0.42,Very Good,E,SI1,62.3,58.0,4.76,4.81,2.98,665.03
168,0.41,Ideal,F,SI1,61.8,55.0,4.75,4.8,2.95,656.67
169,0.51,Premium,F,SI1,60.7,58.0,5.14,5.1,3.11,725.91
170,0.77,Ideal,I,VS2,61.2,59.0,5.91,5.95,3.63,784.7
171,0.33,Ideal,D,VS2,60.9,55.0,4.46,4.5,2.73,666.06
172,0.4,Ideal,G,VS2,62.9,56.0,4.72,4.69,2.96,694.22
173,1.21,Ideal,H,SI1,60.3,60.0,6.9,6.87,4.15,879.79
174,1.11,Very Good,E,SI1,62.4,57.0,6.58,6.6,4.11,878.92
175,1.04,Ideal,F,SI1,59.9,56.0,6.64,6.58,3.96,839.0
176,1.02,Premium,D,SI2,60.3,58.0,6.52,6.48,3.92,845.91
177,1.23,Ideal,G,VS2,61.5,54.0,6.89,6.92,4.25,898.57
178,1.5,Good,G,SI1,64.2,58.0,7.2,7.14,4.6,927.03
179,0.57,Ideal,F,IF,61.8,54.0,5.33,5.35,3.3,799.77
180,0.52,Ideal,E,VS2,61.8,55.0,5.17,5.19,3.2,743.19
181,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,857.43
182,0.73,Ideal,D,VS2,61.5,55.0,5.79,5.82,3.57,828.9
183,0.37,Ideal,G,VVS2,62.0,56.0,4.62,4.64,2.87,681.23
184,1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,826.38
185,2.02,Good,H,SI2,60.2,55.0,8.08,8.19,4.9,971.5
186,0.35,Premium,E,SI1,59.7,60.0,4.53,4.58,2.72,642.0
187,1.01,Good,F,SI1,63.7,57.0,6.4,6.35,4.06,851.5
188,1.0,Premium,H,VS2,60.2,62.0,6.46,6.43,3.88,841.49
189,1.0,Premium,E,VVS2,61.6,59.0,6.42,6.46,3.97,909.25
190,0.32,Premium,F,VS2,60.6,59.0,4.44,4.4,2.68,671.9
191,0.31,Ideal,F,IF,62.0,54.0,4.38,4.4,2.72,681.78
192,1.21,Premium,H,SI1,62.5,58.0,6.75,6.72,4.21,869.08
193,0.91,Very Good,G,SI1,62.2,57.0,6.12,6.17,3.82,826.46
194,0.38,Ideal,H,SI2,61.3,54.0,4.68,4.7,2.87,623.44
195,0.52,Premium,D,VS2,62.8,58.0,5.14,5.11,3.22,751.86
196,0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,650.13
197,0.4,Very Good,G,VS1,60.8,59.0,4.75,4.83,2.91,667.33
198,0.57,Ideal,H,VVS1,60.9,56.0,5.38,5.36,3.27,762.66
199,2.3,Premium,J,SI1,59.6,59.0,8.61,8.56,5.12,943.34
200,0.7,Very Good,E,SI1,61.3,61.0,5.66,5.7,3.48,772.97
201,1.29,Very Good,I,SI1,63.6,57.0,6.88,6.92,4.39,866.06
202,0.4,Very Good,D,SI1,63.0,57.0,4.66,4.7,2.95,657.93
203,1.12,Premium,D,VVS2,59.8,58.0,6.87,6.77,4.08,940.52
204,0.24,Good,F,VS1,62.5,60.0,3.96,3.98,2.48,598.9
205,0.31,Very Good,F,VVS1,60.7,58.0,4.36,4.4,2.66,664.25
206,1.01,Premium,H,SI2,59.4,59.0,6.56,6.53,3.89,831.19
207,0.41,Ideal,I,VS1,61.9,55.0,4.79,4.81,2.97,671.42
208,1.2,Premium,G,VS1,62.9,59.0,6.75,6.69,4.23,869.53
209,1.03,Ideal,G,VS1,61.2,57.0,6.5,6.54,3.99,890.8
210,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,698.1
211,1.07,Very Good,H,SI1,59.2,61.0,6.65,6.67,3.94,854.54
212,2.0,Very Good,I,SI2,63.1,56.0,7.98,7.84,5.0,915.22
213,0.51,Ideal,D,VS1,61.9,57.0,5.17,5.14,3.19,768.57
214,1.06,Very Good,H,SI2,62.6,58.0,6.46,6.52,4.06,828.35
215,1.15,Premium,H,VS2,60.2,58.0,6.86,6.8,4.11,855.47
216,0.31,Ideal,I,SI1,62.7,56.0,4.3,4.34,2.71,601.13
217,0.39,Premium,E,SI1,59.1,59.0,4.81,4.76,2.83,675.69
218,0.31,Very Good,G,VVS1,63.4,57.0,4.36,4.32,2.75,695.27
219,1.06,Good,G,VS1,63.4,57.0,6.45,6.48,4.1,877.6
220,0.54,Very Good,F,VS1,60.0,59.0,5.26,5.32,3.17,741.03
221,0.37,Very Good,H,VS2,59.5,61.0,4.64,4.67,2.77,636.99
222,0.72,Fair,H,SI2,65.9,57.0,5.6,5.54,3.67,769.76
223,0.9,Ideal,E,VS2,62.3,57.0,6.19,6.17,3.85,847.39
224,1.03,Ideal,H,I1,61.5,57.0,6.52,6.48,4.0,808.02
225,0.9,Fair,I,VS1,65.2,60.0,6.0,5.96,3.9,812.77
226,1.72,Premium,H,VS2,61.3,59.0,7.69,7.72,4.72,950.94
227,0.43,Premium,D,SI2,60.7,58.0,4.85,4.91,2.96,657.37
228,0.52,Premium,E,VVS2,60.1,58.0,5.23,5.18,3.13,799.63
229,0.32,Ideal,D,VS2,62.3,57.0,4.39,4.41,2.74,663.07
230,0.33,Ideal,G,VS1,62.1,54.0,4.47,4.42,2.76,674.99
231,0.39,Ideal,E,SI2,61.0,55.0,4.74,4.77,2.9,642.0
232,0.9,Good,F,VS2,62.7,59.0,6.1,6.14,3.84,841.03
233,0.54,Ideal,D,SI1,60.8,57.0,5.31,5.25,3.21,748.77
234,1.13,Ideal,H,VS2,62.0,57.0,6.61,6.69,4.12,870.7
235,0.65,Ideal,E,VVS2,62.1,57.0,5.55,5.6,3.46,801.4
236,0.36,Very Good,G,SI1,61.2,63.0,4.59,4.56,2.8,653.52
237,0.52,Very Good,G,VS2,63.3,57.0,5.11,5.09,3.23,727.93
238,1.0,Good,G,SI2,61.7,63.0,6.36,6.37,3.93,841.03
239,1.52,Ideal,F,SI1,61.5,55.0,7.41,7.44,4.57,942.25
240,1.52,Premium,G,VS2,62.6,55.0,7.39,7.28,4.59,946.95
241,0.52,Very Good,I,SI1,63.3,55.0,5.13,5.1,3.24,697.82
242,0.83,Ideal,F,SI1,62.1,55.0,6.0,6.05,3.74,808.76
243,0.38,Ideal,E,VVS2,61.9,57.0,4.63,4.65,2.87,700.31
244,1.04,Premium,G,IF,61.3,58.0,6.52,6.43,3.97,910.93
245,0.81,Ideal,H,SI1,61.9,56.0,5.92,5.97,3.68,816.45
246,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,940.08
247,0.55,Ideal,E,VS1,61.7,55.0,5.29,5.27,3.26,763.96
248,1.21,Ideal,F,VVS1,61.1,57.0,6.87,6.91,4.21,943.8
249,0.93,Premium,I,VS2,62.7,61.0,6.24,6.14,3.88,831.21
250,0.31,Ideal,D,VS2,62.2,56.0,4.32,4.36,2.7,659.85
251,1.51,Good,I,SI1,63.7,61.0,7.15,7.11,4.54,901.74
252,0.38,Very Good,H,VVS1,63.3,58.0,4.62,4.57,2.91,694.02
253,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,797.18
254,1.01,Ideal,G,VS2,61.0,56.0,6.47,6.51,3.96,881.49
255,0.82,Fair,G,SI1,66.4,54.0,5.87,5.82,3.88,775.75
256,0.9,Premium,E,SI1,62.9,58.0,6.16,6.11,3.86,833.28
257,0.49,Very Good,G,VS2,60.1,56.0,5.13,5.15,3.09,708.84
258,1.33,Ideal,G,VS1,62.0,55.0,7.12,7.07,4.4,926.28
259,1.01,Fair,F,SI1,66.1,60.0,6.15,6.13,4.06,807.0
260,1.22,Premium,H,SI1,61.9,56.0,6.89,6.84,4.25,875.68
261,0.32,Ideal,I,VS1,62.3,57.0,4.37,4.42,2.74,622.46
262,0.36,Ideal,D,VS2,60.6,57.0,4.57,4.61,2.78,674.76
263,1.71,Ideal,J,VVS2,61.6,59.0,7.65,7.68,4.72,930.06
264,0.7,Ideal,G,VS2,60.0,57.0,5.8,5.84,3.49,787.59
265,1.51,Ideal,F,VS1,62.1,56.0,7.38,7.34,4.57,971.23
266,1.13,Very Good,I,SI2,59.9,57.0,6.76,6.8,4.06,834.16
267,0.75,Very Good,D,SI1,60.7,55.0,5.87,5.92,3.58,796.28
268,1.03,Ideal,F,VVS2,62.4,55.6,6.44,6.49,4.02,913.67
269,0.43,Ideal,I,SI1,60.9,57.0,4.88,4.9,2.98,674.76
270,1.02,Premium,F,SI2,60.3,59.0,6.53,6.5,3.93,837.05
271,0.51,Ideal,E,VS2,61.4,57.0,5.13,5.16,3.16,741.22
272,2.06,Very Good,J,VS2,62.6,58.0,8.05,8.08,5.05,955.53
273,0.69,Very Good,F,SI1,62.6,59.6,5.59,5.66,3.52,757.61
274,0.9,Very Good,F,VS2,61.7,57.0,6.17,6.21,3.82,841.03
275,0.33,Ideal,G,VS1,61.8,56.0,4.45,4.42,2.74,674.99
276,0.71,Very Good,E,SI2,63.3,57.0,5.65,5.69,3.59,770.75
277,1.7,Premium,E,SI1,61.8,58.0,7.62,7.52,4.68,966.8
278,0.36,Ideal,D,VS1,62.8,55.0,4.55,4.52,2.85,692.56
279,1.25,Ideal,H,VVS2,60.6,57.0,7.0,6.97,4.23,899.17
280,0.41,Premium,H,VVS2,59.8,60.0,4.86,4.79,2.88,690.68
281,0.54,Ideal,H,VS1,61.9,56.0,5.24,5.2,3.23,740.06
282,0.33,Ideal,D,VS2,62.1,55.0,4.43,4.46,2.76,666.06
283,1.67,Premium,I,VS1,61.1,58.0,7.69,7.6,4.67,934.14
284,0.28,Very Good,E,VVS2,61.8,58.0,4.2,4.24,2.61,646.46
285,1.18,Premium,I,SI2,61.2,59.0,6.85,6.78,4.17,840.29
286,1.57,Ideal,I,VS2,60.4,58.0,7.55,7.59,4.57,930.24
287,0.56,Very Good,I,SI1,61.8,56.0,5.22,5.3,3.25,706.9
288,1.02,Premium,G,SI1,61.1,58.0,6.52,6.48,3.97,856.69
289,0.46,Ideal,E,VVS1,62.5,53.0,4.95,5.0,3.11,757.81
290,1.05,Premium,G,VS1,61.8,58.0,6.54,6.51,4.03,872.36
291,0.53,Ideal,G,VVS2,61.5,56.0,5.18,5.22,3.2,753.96
292,0.79,Ideal,D,SI1,61.5,56.0,5.91,5.96,3.65,797.11
293,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,849.88
294,0.41,Very Good,E,VS2,59.7,58.0,4.79,4.82,2.87,676.39
295,1.02,Premium,G,VS2,62.0,57.0,6.48,6.43,4.0,862.71
296,1.77,Very Good,I,VS2,60.2,58.0,7.88,7.83,4.73,952.45
297,0.41,Ideal,E,VS1,62.0,55.0,4.74,4.77,2.95,698.38
298,0.31,Premium,I,VS2,60.7,61.0,4.34,4.32,2.63,632.44
299,0.4,Good,G,VS2,63.8,59.0,4.64,4.57,2.94,669.33
300,0.3,Ideal,G,VVS1,62.7,54.0,4.3,4.34,2.71,663.86
301,1.25,Good,G,VS1,63.4,55.0,6.87,6.92,4.37,909.39
302,0.31,Ideal,G,SI2,60.5,57.0,4.4,4.36,2.65,625.96
303,0.37,Premium,G,VS2,60.1,59.0,4.64,4.68,2.8,647.54
304,1.53,Very Good,I,SI1,63.3,58.0,7.26,7.31,4.61,898.36
305,0.83,Ideal,J,VS2,61.5,57.0,6.08,6.03,3.72,771.47
306,0.9,Premium,I,SI1,62.1,59.0,6.2,6.17,3.84,815.13
307,0.33,Ideal,E,SI1,61.5,55.0,4.46,4.49,2.75,627.66
308,0.84,Premium,F,SI1,59.0,59.0,6.18,6.13,3.63,804.4
309,2.01,Good,I,SI1,59.4,63.0,8.18,8.26,4.88,958.86
310,0.71,Premium,H,SI1,62.3,61.0,5.65,5.61,3.51,762.51
311,0.4,Premium,G,VVS1,61.5,58.0,4.74,4.69,2.9,709.01
312,2.25,Ideal,H,SI1,62.4,56.0,8.4,8.37,5.23,957.14
313,0.8,Very Good,E,VVS2,62.8,57.0,5.93,5.95,3.73,849.56
314,0.78,Ideal,I,VS2,61.8,55.0,5.92,5.95,3.67,794.94
315,0.43,Good,F,SI1,63.6,53.0,4.83,4.79,3.06,685.44
316,0.33,Premium,F,VS2,62.1,59.0,4.39,4.44,2.74,650.13
317,1.51,Ideal,F,SI1,62.6,57.0,7.31,7.25,4.56,941.34
318,0.31,Ideal,G,VS1,61.5,54.0,4.39,4.43,2.71,648.92
319,0.22,Premium,F,SI1,61.7,60.0,3.9,3.85,2.39,615.27
320,0.91,Ideal,I,VVS2,60.6,57.0,6.25,6.27,3.79,844.74
321,1.16,Premium,F,SI2,62.1,59.0,6.74,6.63,4.15,823.93
322,0.26,Ideal,F,IF,60.9,55.0,4.15,4.23,2.55,664.38
323,0.9,Good,F,VS2,63.1,57.0,6.13,6.16,3.88,838.25
324,1.24,Premium,G,SI2,60.0,60.0,6.94,6.88,4.15,826.77
325,0.24,Very Good,F,VS1,62.0,56.0,3.94,3.99,2.46,603.31
326,0.34,Ideal,G,VS2,61.7,56.0,4.48,4.53,2.78,639.02
327,0.53,Good,D,VS1,60.2,56.0,5.22,5.28,3.16,748.16
328,0.9,Very Good,I,VS2,61.6,57.0,6.13,6.17,3.79,818.34
329,0.26,Ideal,G,VS2,62.3,54.0,4.09,4.1,2.55,598.39
330,0.53,Ideal,F,VS2,61.8,55.0,5.23,5.19,3.22,746.91
331,1.01,Ideal,G,VVS2,60.6,57.0,6.54,6.5,3.95,887.72
332,0.9,Premium,D,SI1,62.4,61.0,6.17,6.13,3.84,843.64
333,1.52,Ideal,I,SI2,62.5,58.0,7.29,7.33,4.57,898.59
334,0.72,Premium,F,VVS2,61.6,59.0,5.78,5.72,3.54,804.08
335,2.06,Ideal,I,SI2,63.3,54.0,8.09,8.14,5.13,958.22
336,0.3,Premium,H,VVS1,60.7,58.0,4.38,4.35,2.65,667.96
337,0.9,Good,F,SI1,64.0,59.0,5.97,5.99,3.83,821.5
338,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,660.26
339,1.16,Ideal,H,VS1,62.4,56.0,6.71,6.73,4.19,887.84
340,0.32,Very Good,H,SI1,63.0,59.0,4.33,4.37,2.74,613.34
341,1.02,Ideal,H,SI1,61.9,57.0,6.4,6.46,3.98,850.19
